hh_id,ptc_id,wave,wealth_index
HH20181029,PT2018102900,1,-2.686202909752143
HH20181030,PT2018103000,1,3.3169120704564867
HH20181031,PT2018103100,1,1.9634790044591746
HH20181032,PT2018103200,1,2.1935500470949547
HH20181104,PT2018110400,1,4.970074215832795
HH20181105,PT2018110500,1,-4.555561651586622
HH20181107,PT2018110700,1,1.752659104076539
HH20181108,PT2018110800,1,-0.6316570695831207
HH20180121,PT2018012100,1,1.8557544349519255
HH20180152,PT2018015200,1,0.3462655872500107
HH20180730,PT2018073000,1,-2.0197228764372275
HH20180731,PT2018073100,1,3.823411378895661
HH20180732,PT2018073200,1,2.5681700553579714
HH20180780,PT2018078000,1,1.7770191013481664
HH20180781,PT2018078100,1,-1.0386060369487773
HH20180782,PT2018078200,1,10.136874089241827
HH20180787,PT2018078700,1,11.247997442320386
HH20180788,PT2018078800,1,-1.289872626910364
HH20180789,PT2018078900,1,0.8783285743929681
HH20180790,PT2018079000,1,4.61876152189423
HH20180791,PT2018079100,1,3.5997473169982834
HH20181033,PT2018103300,1,0.39874987118459804
HH20181034,PT2018103400,1,7.941058234890604
HH20181035,PT2018103500,1,9.400642390678263
HH20181036,PT2018103600,1,4.932134505448712
HH20181109,PT2018110900,1,-0.4366583759957463
HH20181150,PT2018115000,1,1.8692871887419635
HH20181151,PT2018115100,1,-0.7108918407350393
HH20181152,PT2018115200,1,-3.2672596723319525
HH20180352,PT2018035200,1,2.3626145739575013
HH20180353,PT2018035300,1,1.4193091055520748
HH20180354,PT2018035400,1,12.519185742621092
HH20180499,PT2018049900,1,14.681378935197541
HH20180500,PT2018050000,1,7.405991833779404
HH20180745,PT2018074500,1,-3.7634016284580185
HH20180762,PT2018076200,1,11.18663223965361
HH20180779,PT2018077900,1,18.288058919466327
HH20180792,PT2018079200,1,-1.3472414399145007
HH20180793,PT2018079300,1,20.592608799500457
HH20180794,PT2018079400,1,-1.4389265373581437
HH20181037,PT2018103700,1,15.279501536606311
HH20181038,PT2018103800,1,10.411725869540446
HH20181039,PT2018103900,1,0.9912169476143285
HH20181040,PT2018104000,1,1.9101122320355601
HH20181060,PT2018106000,1,0.8090932372723666
HH20181061,PT2018106100,1,-4.2879181239654605
HH20181067,PT2018106700,1,1.602203259287315
HH20181068,PT2018106800,1,-3.9514920173508625
HH20181069,PT2018106900,1,1.0071894175347291
HH20180401,PT2018040100,1,1.1298540310762815
HH20180402,PT2018040200,1,-2.4128978161568955
HH20180403,PT2018040300,1,2.7841199540839674
HH20180450,PT2018045000,1,-1.7996599179451116
HH20180482,PT2018048200,1,-1.562112398800152
HH20180483,PT2018048300,1,-0.6294542434962
HH20180484,PT2018048400,1,2.757874026853041
HH20180485,PT2018048500,1,-2.664355560225448
HH20180744,PT2018074400,1,1.177460213442684
HH20180763,PT2018076300,1,-0.050782958578783524
HH20180795,PT2018079500,1,6.477346929877972
HH20180796,PT2018079600,1,1.1358653544729522
